"DRUN","H","H2","H2O","H2O2","HO2","N2","O","O2","OH","PRUN","RRTE_H","RRTE_H2","RRTE_H2O","RRTE_H2O2","RRTE_HO2","RRTE_N2","RRTE_O","RRTE_O2","RRTE_OH","TRUN","URUN","VRUN","WRUN","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.1539728274,5.846625393e-05,0.0003069461549,0.1738476796,2.818781089e-06,8.388854693e-06,0.8655168062,0.001203445622,0.06903067331,0.004345759126,100000.1328,-0.1138807454,-0.2675220182,3.994722695,-0.002159281065,-0.00448436464,0,-0.8821297629,-1.667275474,-1.05727105,1805.30514,4.989922884,0,0,1,0.00252999994,0.00252999994,0,0
0.1539211293,5.774194267e-05,0.0003045835208,0.1738889887,2.794076968e-06,8.335826725e-06,0.8655203363,0.001193800661,0.06901291364,0.004332698137,100000.1328,-0.1115861617,-0.2639560646,3.939630321,-0.002125753648,-0.004431298,0,-0.8699568854,-1.634676798,-1.052897373,1805.970511,4.991566019,0,0,1,0.002540000016,0.002540000016,0,0
0.153870229,5.703039071e-05,0.0003022496025,0.173929772,2.769737832e-06,8.283397401e-06,0.8655237472,0.00118428124,0.06899549121,0.004319699321,100000.1328,-0.1093505672,-0.2604519738,3.885599293,-0.002092946177,-0.004379169769,0,-0.8580133546,-1.602837788,-1.048473654,1806.626172,4.9931847,0,0,1,0.002549999859,0.002549999859,0,0
0.1538201024,5.633128625e-05,0.0002999438809,0.1739700383,2.745755807e-06,8.231555181e-06,0.865527143,0.001174884868,0.06897839617,0.004306762763,100000.1328,-0.1071720368,-0.2570082951,3.832602224,-0.00206083849,-0.004327955494,0,-0.8462934279,-1.571736062,-1.044003574,1807.272415,4.994779573,0,0,1,0.002559999935,0.002559999935,0,0
0.1537707491,5.564433749e-05,0.0002976658582,0.1740097955,2.722123026e-06,8.180290858e-06,0.8655304349,0.001165609291,0.0689616228,0.004293888783,100000.1328,-0.105048773,-0.253623786,3.780612658,-0.002029411354,-0.004277630909,0,-0.834791548,-1.541350815,-1.039490771,1807.909492,4.996351132,0,0,1,0.002570000011,0.002570000011,0,0
0.1537221339,5.49693007e-05,0.0002954152127,0.1740490566,2.698833581e-06,8.129595405e-06,0.8655336961,0.001156452823,0.06894516242,0.004281077439,100000.127,-0.102979147,-0.2502973373,3.729608477,-0.001998648023,-0.00422817643,0,-0.8235031076,-1.511663133,-1.03493903,1808.53744,4.997900022,0,0,1,0.002579999855,0.002579999855,0,0
0.1536742582,5.430587286e-05,0.0002931913819,0.1740878312,2.67587923e-06,8.079458494e-06,0.865536869,0.001147412857,0.06892901428,0.004268328943,100000.125,-0.1009614159,-0.2470276074,3.67956337,-0.001968529565,-0.004179567893,0,-0.8124225653,-1.482652401,-1.030351325,1809.156437,4.999426557,0,0,1,0.002589999931,0.002589999931,0,0
0.15362709,5.365382125e-05,0.0002909940174,0.1741261215,2.653254189e-06,8.029871855e-06,0.8655400419,0.001138487626,0.06891316589,0.004255642861,100000.125,-0.09899404787,-0.2438135183,3.630455619,-0.001939039765,-0.004131786517,0,-0.8015453564,-1.454300743,-1.025731062,1809.766862,5.000931171,0,0,1,0.002600000007,0.002600000007,0,0
0.1535806185,5.301289853e-05,0.0002888227362,0.1741639386,2.630951941e-06,7.980827852e-06,0.8655431398,0.001129675251,0.06889760999,0.00424301992,100000.125,-0.09707552533,-0.2406539768,3.582263188,-0.001910162366,-0.004084812471,0,-0.7908669672,-1.426590505,-1.021081211,1810.368618,5.002414676,0,0,1,0.00260999985,0.00260999985,0,0
0.1535348392,5.23828433e-05,0.000286677022,0.1742012946,2.608965719e-06,7.932316921e-06,0.8655461341,0.001120973491,0.06888234977,0.004230460046,100000.125,-0.09520433085,-0.2375477771,3.534963323,-0.001881880782,-0.004038625115,0,-0.7803823985,-1.399503529,-1.016404641,1810.962054,5.003876753,0,0,1,0.002619999927,0.002619999927,0,0
0.1534897252,5.176341107e-05,0.0002845565108,0.1742382006,2.587288814e-06,7.884328786e-06,0.8655491724,0.001112380535,0.06886736663,0.004217962758,100000.125,-0.09337901847,-0.2344938045,3.488534041,-0.001854179168,-0.003993205343,0,-0.7700871649,-1.373022658,-1.011704036,1811.547298,5.005318372,0,0,1,0.002630000003,0.002630000003,0,0
0.153445271,5.115439155e-05,0.0002824608586,0.1742746444,2.565916261e-06,7.836857456e-06,0.8655520916,0.001103894785,0.06885265571,0.004205528684,100000.125,-0.0915982872,-0.2314911251,3.442956922,-0.001827043618,-0.003948537443,0,-0.7599773661,-1.347132593,-1.006982118,1812.124389,5.006739826,0,0,1,0.002639999846,0.002639999846,0,0
0.1534014708,5.055553473e-05,0.0002803896052,0.1743106573,2.544841039e-06,7.789893645e-06,0.8655549669,0.001095513869,0.06883821789,0.004193157123,100000.1172,-0.08986073319,-0.2285385573,3.398209952,-0.001800458304,-0.003904600684,0,-0.7500482168,-1.3218162,-1.002241197,1812.693715,5.008141656,0,0,1,0.002649999922,0.002649999922,0,0
