3.3198826476E-04 	3.8387573989E-48	2.3299987029E-01	9.5582187828E-08	1.1914768653E-41	4.2551639485E-30	1.0879281300E-60	8.8766362237E-29	3.1653732590E-29	7.6700003413E-01	
3.4428412642E-04 	4.2169943361E-48	2.3299985751E-01	1.0499575578E-07	1.1915264785E-41	4.4599005239E-30	1.1403081111E-60	9.3036949906E-29	3.4771816959E-29	7.6700003749E-01	
3.5657998808E-04 	4.6325178209E-48	2.3299984348E-01	1.1533643408E-07	1.1915809803E-41	4.6745001390E-30	1.1952166786E-60	9.7513210730E-29	3.8197117947E-29	7.6700004118E-01	
3.6887584974E-04 	5.0890073706E-48	2.3299982807E-01	1.2669553064E-07	1.1916408526E-41	4.8994397801E-30	1.2527769065E-60	1.0220508229E-28	4.1959918531E-29	7.6700004524E-01	
3.8117171139E-04 	5.5905063980E-48	2.3299981113E-01	1.3917334610E-07	1.1917066249E-41	5.1352197816E-30	1.3131180121E-60	1.0712298726E-28	4.6093489617E-29	7.6700004969E-01	
3.9346757305E-04 	6.1414583529E-48	2.3299979253E-01	1.5288005919E-07	1.1917788790E-41	5.3823650063E-30	1.3763756842E-60	1.1227785770E-28	5.0634385362E-29	7.6700005459E-01	
4.0576343471E-04 	6.7467464934E-48	2.3299977210E-01	1.6793669961E-07	1.1918582542E-41	5.6414260948E-30	1.4426924334E-60	1.1768116080E-28	5.5622767853E-29	7.6700005996E-01	
4.1805929637E-04 	7.4117376778E-48	2.3299974966E-01	1.8447621715E-07	1.1919454526E-41	5.9129807969E-30	1.5122179676E-60	1.2334492626E-28	6.1102764254E-29	7.6700006587E-01	
4.3035515803E-04 	8.1423305222E-48	2.3299972500E-01	2.0264465525E-07	1.1920412462E-41	6.1976353619E-30	1.5851095885E-60	1.2928177480E-28	6.7122859134E-29	7.6700007236E-01	
4.4265101968E-04 	8.9450084262E-48	2.3299969792E-01	2.2260244033E-07	1.1921464828E-41	6.4960260151E-30	1.6615326153E-60	1.3550494844E-28	7.3736325929E-29	7.6700007948E-01	
