0.0000000000E+00 	3.0000010057E+02	
1.2295861658E-05 	3.0000011048E+02	
2.4591723316E-05 	3.0000012136E+02	
3.6887584974E-05 	3.0000013331E+02	
4.9183446632E-05 	3.0000014644E+02	
6.1479308289E-05 	3.0000016086E+02	
7.3775169947E-05 	3.0000017670E+02	
8.6071031605E-05 	3.0000019410E+02	
9.8366893263E-05 	3.0000021322E+02	
1.1066275492E-04 	3.0000023422E+02	
1.2295861658E-04 	3.0000025729E+02	
1.3525447824E-04 	3.0000028263E+02	
1.4755033989E-04 	3.0000031046E+02	
1.5984620155E-04 	3.0000034104E+02	
1.7214206321E-04 	3.0000037463E+02	
1.8443792487E-04 	3.0000041152E+02	
1.9673378653E-04 	3.0000045205E+02	
2.0902964818E-04 	3.0000049657E+02	
2.2132550984E-04 	3.0000054548E+02	
2.3362137150E-04 	3.0000059920E+02	
2.4591723316E-04 	3.0000065821E+02	
2.5821309482E-04 	3.0000072304E+02	
2.7050895647E-04 	3.0000079425E+02	
2.8280481813E-04 	3.0000087247E+02	
2.9510067979E-04 	3.0000095840E+02	
3.0739654145E-04 	3.0000105279E+02	
3.1969240311E-04 	3.0000115647E+02	
3.3198826476E-04 	3.0000127037E+02	
3.4428412642E-04 	3.0000139548E+02	
3.5657998808E-04 	3.0000153292E+02	
3.6887584974E-04 	3.0000168389E+02	
3.8117171139E-04 	3.0000184973E+02	
3.9346757305E-04 	3.0000203191E+02	
4.0576343471E-04 	3.0000223202E+02	
4.1805929637E-04 	3.0000245185E+02	
4.3035515803E-04 	3.0000269332E+02	
4.4265101968E-04 	3.0000295858E+02	
4.5494688134E-04 	3.0000324996E+02	
4.6724274300E-04 	3.0000357003E+02	
4.7953860466E-04 	3.0000392163E+02	
4.9183446632E-04 	3.0000430786E+02	
5.0413032797E-04 	3.0000473213E+02	
5.1642618963E-04 	3.0000519818E+02	
5.2872205129E-04 	3.0000571013E+02	
5.4101791295E-04 	3.0000627250E+02	
5.5331377460E-04 	3.0000689026E+02	
5.6560963626E-04 	3.0000756885E+02	
5.7790549792E-04 	3.0000831428E+02	
5.9020135958E-04 	3.0000913313E+02	
6.0249722124E-04 	3.0001003262E+02	
6.1479308289E-04 	3.0001102069E+02	
6.2708894455E-04 	3.0001210608E+02	
6.3938480621E-04 	3.0001329836E+02	
6.5168066787E-04 	3.0001460807E+02	
6.6397652953E-04 	3.0001604676E+02	
6.7627239118E-04 	3.0001762715E+02	
6.8856825284E-04 	3.0001936317E+02	
7.0086411450E-04 	3.0002127018E+02	
7.1315997616E-04 	3.0002336499E+02	
7.2545583782E-04 	3.0002566612E+02	
7.3775169947E-04 	3.0002819387E+02	
7.5004756113E-04 	3.0003097056E+02	
7.6234342279E-04 	3.0003402072E+02	
